autor,partido,uf,discurso,data
MARCELO RAMOS,PL,AM,"Havendo número regimental, declaro aberta a 22ª Reunião Extraordinária da Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 6-A, de 2019, do Poder Executivo, que modifica o sistema de Previdência Social, estabelece regras de transição e disposições transitórias, e dá outras providências. Antes de iniciar os trabalhos, informo que está aberta a lista de inscrição para discussão da matéria. As Sras. Deputadas e os Srs. Deputados que desejarem se inscrever, queiram fazê-lo antes do início da discussão, quando serão encerradas definitivamente as inscrições.",12/07/2019
HENRIQUE FONTANA,PT,RS,"Questão de ordem, Presidente.",12/07/2019
MARCELO RAMOS,PL,AM,"Para uma questão de ordem, tem a palavra o Deputado Henrique Fontana.",12/07/2019
HENRIQUE FONTANA,PT,RS,"Presidente, primeiro, quero cumprimentá-lo e todos os colegas Parlamentares. Registro que aguardei, durante o encerramento da sessão do plenário, pacientemente, por óbvio, a fala de todos os que queriam usar a palavra e tive o cuidado de fazer esta questão de ordem ao final da sessão do nosso Plenário. Como não consegui fazê-la Š o Presidente não me concedeu o direito de formular a questão de ordem no plenário Š, agradeço- lhe a oportunidade de fazer agora. A minha questão de ordem, Presidente, baseia-se nos arts. 196 e 280 do Regimento. O art. 196 tem a seguinte redação: Art. 196. A redação do vencido ou a redação final será elaborada dentro de dez sessões para os projetos em tramitação ordinária, cinco sessões para os em regime de prioridade, e uma sessão Š  e eu grifo uma sessão  Š prorrogável por outra, excepcionalmente, por deliberação do Plenário, para os em regime de urgência, entre eles incluídas as propostas de emenda à Constituição. É disto que aqui nós estamos tratando: uma emenda à Constituição. Portanto, isso demanda uma sessão, prorrogável por outra, excepcionalmente por decisão do Plenário. Diz o art. 280 do nosso Regimento, Presidente Marcelo Š e poupo os colegas de ler a introdução do artigo principal Š, no seu § 1º: Art. 280. ................................................................................................... Reunião de: 12/07/2019 § 1º Exclui-se do cômputo o dia ou sessão inicial e inclui-se o do vencimento. § 1º- A. Considera-se sessão inicial a do dia em que ocorrer o fato ou se praticar o ato. A minha questão de ordem, Presidente, vai no sentido de que a sessão considerada inicial, que concluiu a votação desta PEC em primeiro turno no plenário, ocorreu hoje. Portanto, a nossa Comissão Especial, para dar a redação final, precisa garantir este dia mínimo de uma sessão, no mínimo Š não vou falar de prorrogação Š, para a deliberação final. Presidente, por dever de lealdade, quero usar esta frase: do nosso ponto de vista...",12/07/2019
MARCELO RAMOS,PL,AM,Peço a V.Exa. que conclua.,12/07/2019
HENRIQUE FONTANA,PT,RS,"Obrigado, Presidente. Do nosso ponto de vista, se nós não respeitarmos o prazo de 1 dia, de uma sessão Š ou seja, se não for amanhã, segunda- feira ou no início de agosto Š, na nossa leitura isso poderá macular o processo, no qual estamos todos envolvidos, de um vício insanável. Então, nós reivindicamos que não ocorra essa deliberação da redação final hoje, Sr. Presidente.",12/07/2019
MARCELO RAMOS,PL,AM,"Deputado Henrique Fontana, nós entendemos que a sessão do Plenário não se vincula à Comissão. Portanto, não existe interstício previsto entre Plenário e Comissão. Indefiro a questão de ordem de V.Exa., obviamente cabendo recurso ao Presidente da Casa. Concedo a palavra à Deputada Alice Portugal para uma questão de ordem.",12/07/2019
ALICE PORTUGAL,B,BA,"Art. 46, § 5º, do Regimento Interno da Câmara dos Deputados. Art. 46 ..................................................................................... § 5º As reuniões extraordinárias serão anunciadas com a devida antecedência, designando-se, no aviso de sua convocação, dia, hora, local e objeto da reunião (...). Isso foi feito de viva voz no plenário da Câmara. (...). Além da publicação no Diário da Câmara dos Deputados, a convocação será comunicada aos membros da Comissão por telegrama ou aviso protocolizado. Portanto, solicito a apresentação da publicação da convocação no  Diário da Câmara dos Deputados . Caso não ocorra, é elemento regimental que esta reunião seja suspensa até a devida publicação. Essa é a questão de ordem, Sr. Presidente.",12/07/2019
MARCELO RAMOS,PL,AM,"Respondo a questão de ordem de V.Exa., com base na Questão de Ordem nº 580, de 2005: No âmbito das Comissões é possível a convocação de reunião extraordinária para o mesmo dia mediante aviso protocolizado ou ligação telefônica independente de publicação no Diário da Câmara dos Deputados, à luz do art. 67, § 2º. A questão de ordem de V.Exa. está indeferida. (Intervenção fora do microfone.)",12/07/2019
MARCELO RAMOS,PL,AM,Tem a palavra o Deputado Paulo Ramos. (Intervenção fora do microfone.),12/07/2019
