id_sessao,data,autor,partido,uf,discurso
207,06/08/2019,RODRIGO MAIA,DEM,RJ,A lista de presença registra na Casa o comparecimento de 473 Senhoras Deputadas e Senhores Deputados. Está aberta a sessão. Sob a proteção de Deus e em nome do povo brasileiro iniciamos nossos trabalhos. Novo painel. O Sr. Secretário procederá à leitura da ata da sessão anterior.
207,06/08/2019,LUCAS VERGILIO,N/A,N/A,"servindo como 2º Secretário, procede à leitura da ata da sessão antecedente, a qual é, sem observações, aprovada. (Não há expediente a ser lido.)"
207,06/08/2019,ALEXANDRE FROTA,PSL,SP,"Presidente Rodrigo Maia, hoje estaremos mais uma vez todos unidos aqui para iniciar esse segundo turno. Ao contrário do que ouvi alguns Deputados da Esquerda falando, votaremos pelo futuro do Brasil, pela democracia do Brasil. É importante lembrar a todos aqueles que estiveram juntos e unidos no primeiro turno que agora é a hora de mostrarmos o nosso patriotismo, a nossa luta. Vamos juntos levar o Brasil para frente! Muito obrigado, Presidente."
207,06/08/2019,RODRIGO MAIA,DEM,RJ,Tem a palavra o Deputado Hildo Rocha.
207,06/08/2019,HILDO ROCHA,MDB,MA,"Presidente, queria registrar que a Cúpula da Cachaça considerou uma cachaça fabricada na cidade de Passagem Franca, no Maranhão, desde 1945, a Reserva do Zito, uma das melhores cachaças do Brasil. Portanto, eu quero parabenizar todos os funcionários da empresa que fabrica, desde o século passado, essa cachaça. A cana produzida em Passagem Franca pela família do Zito é selecionada desde a plantação até a colheita. Posteriormente, a produção da cachaça gera dezenas de empregos no Maranhão e ICM bastante volumoso para o Estado. Agora a cachaça foi considerada uma das melhores do Maranhão. Quero parabenizar inclusive a cidade de Passagem Franca por isso."
207,06/08/2019,RODRIGO MAIA,DEM,RJ,Tem a palavra o Deputado Otoni de Paula.
207,06/08/2019,OTONI DE PAULA,PSC,RJ,"Sr. Presidente, eu quero aproveitar este momento para parabenizar a Editora Betel, que é a editora das Assembleias de Deus Ministério de Madureira, por ter ganhado o nosso Oscar da literatura cristã evangélica, o Prêmio Areté, através de Sarah Cavalcanti, nossa escritora. Foi premiada a obra Uma escola para todos . Parabéns, Sarah! Parabéns, Editora Betel! Parabéns, Bispo Samuel Ferreira, Bispo Abner Ferreira, Bispo Primaz Manoel Ferreira e toda a Nação Madureira por esse Oscar da literatura evangélica que é o Prêmio Areté!"
207,06/08/2019,RODRIGO MAIA,DEM,RJ,"Tem a palavra o Deputado Capitão Wagner, para uma Comunicação de Liderança, pelo PROS."
207,06/08/2019,CAPITÃO WAGNER,PROS,CE,"Boa noite a todos. Sr. Presidente, eu queria fazer um registro, pela Liderança do PROS, acerca de pesquisa veiculada no Estado do Ceará que aponta Maracanaú como a cidade mais violenta do País. A pesquisa é referente ao ano de 2017. Sras. e Srs. Deputados aqui presentes, o que nos causa maior indignação não é fato de Maracanaú ter se tornado a cidade mais violenta do País, mas outro fato, que passo a registrar. O Deputado Roberto Pessoa, do PSDB, que foi Prefeito do Município de Maracanaú, articulou junto ao Secretário Nacional de Segurança Pública, General Theophilo, recursos da ordem de 250 milhões de reais, que seriam destinados justamente para que Maracanaú pudesse vencer essa guerra contra a violência. Esses recursos seriam vinculados a sete Ministérios e destinados não só para a repressão, mas também para o saneamento básico, a educação, o trabalho, o lazer, a Guarda Municipal daquele Município. Entretanto, infelizmente, esse Município, que hoje é noticiado como o mais violento do País, deixou de receber 200 milhões de reais, não por culpa da Prefeitura, não por culpa do Deputado Roberto Pessoa, mas sim por conta de uma birra política: o Governo do Estado do Ceará deixou de dar a atenção devida ao recurso, deixou de dar a assistência necessária para que a cidade de Maracanaú fosse considerada a cidade-piloto desse projeto por meio do qual cada região do Brasil está recebendo esses recursos. Logicamente, quem ficou triste, quem perdeu nessa briga política foi a população de Maracanaú e quem ganhou foi o Estado de Pernambuco, onde a cidade de Paulista foi contemplada justamente porque Maracanaú deixou de ser contemplada em virtude de o Governo do Estado não ter cumprido os requisitos necessários para que fosse viabilizado esse programa em nosso Estado. A população do Ceará logicamente lamenta. A nossa Capital, a cidade de Fortaleza, é registrada como a cidade mais violenta do País, e a cidade vizinha, Maracanaú, como a cidade mais violenta entre todas as cidades que foram pesquisadas. Aqui eu queria fazer um depoimento em defesa da articulação que foi feita pelo Deputado Roberto Pessoa, nosso companheiro de bancada, Deputado Federal que trabalhou muito para que esses recursos fossem viabilizados. E o que nos preocupa é que justamente o Secretário de Segurança do Estado do Ceará à época tenha alegado que não haveria motivos para que esses recursos fossem destinados para Maracanaú, porque os dados que ele tinha não apontavam a cidade como a que mais precisava no Estado do Ceará. Está aí, entretanto, essa realidade comprovada, através da pesquisa que foi veiculada Š pesquisa responsável, que não é nem de oposição nem de situação, não é pesquisa de partidos políticos, e sim de um instituto que tem credibilidade, inclusive internacional. Então, que fique registrado o empenho do Deputado Roberto Pessoa, da bancada cearense, e do Deputado Heitor, que também participou da articulação. Nós trabalhamos também junto ao General Theophilo. Infelizmente, quem perde com a birra política e com a forma Š a da velha política Š como foi tratada essa questão é o povo cearense, é o povo de Maracanaú. Por conta disso, queria deixar registrado Š e inclusive solicito que seja veiculado no programa  A Voz do Brasil Š  este nosso pronunciamento em defesa da população de Maracanaú e em repúdio a essa velha forma de fazer política no Estado do Ceará. Muito obrigado, Presidente."
207,06/08/2019,OTONI DE PAULA,PSC,RJ,"Sr. Presidente, infelizmente hoje é uma data muito triste para a indústria naval e os seus trabalhadores, principalmente do nosso Estado do Rio de Janeiro. Completam- se hoje exatos 5 anos que a crise se instalou na área naval e as portas se fecharam para os trabalhadores de estaleiros do nosso Estado do Rio de Janeiro. O pior, Sr. Presidente, é que a situação desses trabalhadores ainda não foi resolvida. Com seus direitos expurgados, eles hoje estão em situação deplorável. Nós vamos ter uma reunião com o Ministro de Minas e Energia, Bento Albuquerque, para saber qual a solução para a situação dos trabalhadores dos estaleiros do Rio de Janeiro."
