data,autor,partido,uf,discurso
18/06/2019,MARCELO RAMOS,PL,AM,"Havendo número regimental declaro aberta a 15ª Reunião Ordinária da Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 06-A, de 2019, do Poder Executivo, que modifica o sistema de Previdência Social, estabelece regras de transição e disposições transitórias, e dá outras providências. Em apreciação a Ata da 14ª Reunião, realizada no dia 13 de junho de 2019, cujas cópias estão à disposição dos senhores membros. Indago ao Plenário se há necessidade da leitura da ata."
18/06/2019,ALEXANDRE FROTA,PSL,SP,Peço dispensa da leitura da ata.
18/06/2019,MARCELO RAMOS,PL,AM,"Está dispensada a leitura da ata, a pedido do Deputado Alexandre Frota. Indago se algum membro deseja retificar a ata.  (Pausa.) Não havendo quem a queira retificá-la, coloco a ata em votação. Os Deputados que a aprovam permaneçam como se encontram.  (Pausa.) Aprovada. Comunico que a lista com a sinopse do expediente recebido encontra-se disponível na mesa de apoio para V.Exas. Aproveito para solicitar que as assessorias cedam lugar ao Deputado que porventura esteja sem assento. Antes de passarmos à Ordem do Dia, reforço alguns esclarecimentos acerca dos procedimentos que nortearão os trabalhos de discussão e votação do parecer do Relator desta Comissão: - A lista de inscrição para discussão continua à disposição dos Srs. Deputados na mesa de apoio até o início da fala do primeiro inscrito. Os Srs. Deputados terão a palavra na ordem de inscrição, alternadamente, contra e a favor do parecer. - É permitida a permuta de inscrição, porém aqueles que não se encontrarem presentes na hora da chamada perderão definitivamente a sua inscrição. - O prazo para discutir a matéria é de 15 minutos para membros da Comissão e para os Líderes; e de 10 minutos para os Deputados que a ela não pertençam. - O tempo de inscrito poderá ser somado ao tempo de Liderança, se obedecida a ordem de inscrição dos membros. Reunião de: 18/06/2019 - Ainda, os Deputados que desejarem fazer a leitura de eventuais votos em separado deverão fazê-lo de acordo com a lista de inscrição e pelo prazo já estabelecido, não lhes sendo permitido falar novamente. - Os autores de eventuais votos em separado que não estiverem inscritos deverão encaminhar o seu voto à Secretaria para inclusão na publicação do avulso. Š Os requerimentos de destaque poderão ser apresentados até o anúncio da votação. Discussão e votação do parecer do Deputado Samuel Moreira. Em discussão o parecer do Deputado Samuel Moreira. Informo que se encontra aberto o prazo para a apresentação de destaques e declaro encerradas as inscrições para a discussão da matéria. Observando a ordem de inscrição, concedo a palavra inicialmente, para falar contra a matéria, ao Deputado Jorge Solla."
18/06/2019,JANDIRA FEGHALI,PcdoB,RJ,"Sr. Presidente, antes de abrir a palavra para o primeiro debatedor, ficou uma dúvida no Plenário sobre a intervenção dos Líderes. Isso ficou um pouco confuso para mim, porque, na última reunião de procedimento, houve um acordo Š eu não estava presente Š e teve uma informação sobre o tempo de fala dos Líderes na lista de inscritos e a questão da intervenção dos Líderes no seu tempo proporcional de bancada. Não ficou claro para nós, Líderes, como é isso, porque há uma inscrição como Deputado, há uma inscrição na lista de Líderes e há o tempo proporcional do Líder como Líder de bancada e como Líder da Minoria e da Oposição. Então, isso precisaria ficar um pouco mais claro, porque para nós ficou um pouco confuso o uso desse tempo. Seria bom termos esse esclarecimento para que, na hora da inscrição, não haja confusão sobre essa intervenção. Portanto, seria bom isso ficar claro para facilitar a ordem dos trabalhos. Desse modo, eu gostaria que V.Exa. esclarecesse isso melhor, porque, ontem mesmo, na reunião que fizemos, cada um teve um entendimento."
18/06/2019,MARCELO RAMOS,PL,AM,"Deputada Jandira Feghali, justamente por conta disso, hoje cedo consultei a assessoria, que já conversou com alguns Líderes, explicando qual é o procedimento regimental. O Líder que está inscrito na lista tem direito a 15 minutos Š na lista. Fora isso, ele tem o tempo de Comunicação de Liderança, que é proporcional a cada partido e ele pode usar em cada sessão. Então, por exemplo, o Deputado André Figueiredo Š calma, é só um exemplo Š, quando chegar a vez dele na lista, ele terá direito a 15 minutos. Fora isso, ele tem direito à Comunicação de Liderança, a qualquer tempo, por 3 minutos. Mas, na Comunicação de Liderança, ele tem 3 minutos hoje, 3 minutos amanhã e 3 minutos em cada uma das sessões. O.k.? Essa é a orientação dada pela assessoria desta Presidência. Passo a palavra ao Deputado Jorge Solla pelo tempo de 15 minutos."
18/06/2019,JORGE SOLLA,PT,BA,"Obrigado, Presidente."
18/06/2019,MARCELO RAMOS,PL,AM,"Só um pouquinho. Os Líderes terão a palavra na hora em que solicitarem Š nós não vamos seguir a lista de Líderes Š, pelo tempo proporcional ao seu partido. Com a palavra o Deputado Jorge Solla, por 15 minutos."
18/06/2019,JORGE SOLLA,PT,BA,"Bom dia, Deputados e Deputadas, povo brasileiro que nos assiste, povo que foi às ruas no dia 14, na sexta-feira passada, se manifestar contra esse projeto que estamos aqui debatendo, povo que nos acompanha e que está atento ao que cada um de nós vai decidir aqui nesta Comissão. Hoje, felizmente, há um grande grau de transparência da atuação Parlamentar. Inclusive, Presidente, muitos Deputados do meu Estado da Bahia votaram aqui na Câmara, na reforma trabalhista, sob o mesmo discurso que está havendo agora para a Previdência: o de que vai gerar emprego Š a reforma trabalhista ia gerar emprego, mas gerou desemprego, e o Relator sabe disso. Da mesma forma, estão dizendo que essa reforma vai gerar emprego, mas vai gerar desemprego. Quem votou pela reforma trabalhista, quem votou no golpe para tirar a Presidenta Dilma, muitos não voltaram, muitos foram punidos nas urnas. E tenho certeza de que aqueles que votarem nessa reforma, que vai destruir emprego, que vai falir a economia brasileira, também será punido nas urnas, porque o povo brasileiro não se deixa iludir não, gente. Eu vou tentar usar esse tempo... Presidente, está difícil."
18/06/2019,MARCELO RAMOS,PL,AM,"Pessoal, eu quero pedir ordem aqui. O.k.? Reponha o tempo do Deputado Jorge Solla. Devolvo a palavra ao Deputado Jorge Solla."
18/06/2019,JORGE SOLLA,PT,BA,"É porque o barulho estava muito grande, Presidente. Reunião de: 18/06/2019 Eu vou tentar usar esse tempo que temos aqui hoje para detalhar por que nós não concordamos com essa reforma, por que nós vamos votar contra, o PT e toda sua bancada, os partidos de Oposição, com certeza, mas sem abrir mão de fazer o debate qualificado em cada ponto. O Relator fez o trabalho de tirar uma parte das aberrações Š uma parte. O regime de capitalização foi uma delas, mas o Governo Bolsonaro já avisou que vai fazer outra PEC, porque aqui ele sabia que não passaria a capitalização, mas Paulo Guedes não abriu mão, até porque ele só é Ministro para fazer isso. É bom lembrar quem é Paulo Guedes. Infelizmente, grande parte da desconstitucionalização, Relator... Eu não quero ser chato, mas é importante que V.Exa. me ouça, porque V.Exa. é o Relator desse projeto."
