id_sessao,nome_sessao,data,hora,autor_nome,autor_partido,autor_uf,discurso
189,SESSÃO DELIBERATIVA EXTRAORDINÁRIA,10/07/2019,09:00:00,Charles Fernandes,PSD,BA,"Bom dia a todos. Não havendo quórum regimental para abertura da sessão, nos termos do § 3º do art. 79 do Regimento Interno, aguardaremos até meia hora para que ele se complete."
189,SESSÃO DELIBERATIVA EXTRAORDINÁRIA,10/07/2019,09:00:00,Marcos Pereira,PRB,SP,"A lista de presença registra na Casa o comparecimento de 53 Senhoras Deputadas e Senhores Deputados. Está aberta a sessão. Sob a proteção de Deus e em nome do povo brasileiro iniciamos nossos trabalhos. O Sr. Secretário procederá à leitura da ata da sessão anterior."
189,SESSÃO DELIBERATIVA EXTRAORDINÁRIA,10/07/2019,09:00:00,Marcos Pereira,PRB,SP,"Neste momento, esta Presidência irá suspender a Sessão Deliberativa Extraordinária para dar início à Sessão Solene em homenagem aos 42 anos da Igreja Universal do Reino de Deus, proposta pelo Deputado Aroldo Martins. Está suspensa a sessão."
189,SESSÃO DELIBERATIVA EXTRAORDINÁRIA,10/07/2019,09:00:00,Soraya Santos,PL,RJ,"Neste momento, a Presidência reabre a Sessão Extraordinária, após o encerramento da Sessão Solene em homenagem aos 42 anos da Igreja Universal do Reino de Deus, proposta pelo Deputado Aroldo Martins. Está reaberta a sessão. Concedo a palavra à Deputada Benedita da Silva."
189,SESSÃO DELIBERATIVA EXTRAORDINÁRIA,10/07/2019,09:00:00,BENEDITA DA SILVA,PT,RJ,"Sra. Presidente, Sras. e Srs. Deputados, primeiro, quero fazer um registro para lamentar profundamente desta tribuna a morte do jornalista Paulo Henrique Amorim e expressar os meus sentimentos aos seus familiares, principalmente à sua esposa, Geórgia, amigos, amigas e admiradores desse grande jornalista, que nos deixou nesta manhã aos 77 anos de idade, no Rio de Janeiro, vítima de um infarto. Ele era um homem íntegro, um profissional de primeira grandeza, soldado de peso na luta contra o golpe de 2016 e contra o atual Governo. Paulo Henrique Amorim trabalhou nos principais veículos de comunicação do País durante mais de 50 anos, na TV, em jornais, revistas e no blog Conversa Afiada. Ele comandava como poucos a linguagem da Internet. Por não se curvar aos interesses dos poderosos, Paulo Henrique Amorim ocupou nesses últimos 4 anos uma importante trincheira, que foi denunciar os esquemas que levaram o País a esse triste e caótico cenário em que estamos vivendo hoje. Inclusive, recentemente, recebeu a notícia do seu afastamento do comando do programa Domingo Espetacular, na Record, justamente por criticar as ações do Presidente Jair Bolsonaro. Paulo Henrique Amorim imortalizou a sigla PIG, expressão utilizada para se referir a órgãos da grande imprensa considerados tendenciosos que se utilizariam da grande mídia para propagar suas ideias e desestabilizar governos de orientação política contrária à sua. Esse foi e sempre será Paulo Henrique Amorim, a quem nós rendemos homenagens. À Geórgia e a toda a família o nosso abraço querido, esperando que tenham o conforto e o consolo de Deus neste momento. Que possamos dar continuidade aos sonhos de Paulo Henrique Amorim de luta pela democracia e por um País melhor! Quem sabe nós teremos realizado este sonho ainda hoje. Obrigada, Sra. Presidente."
189,SESSÃO DELIBERATIVA EXTRAORDINÁRIA,10/07/2019,09:00:00,Soraya Santos,PL,RJ,"Concedo a palavra à Deputada Jandira Feghali. V.Exa. tem 1 minuto."
189,SESSÃO DELIBERATIVA EXTRAORDINÁRIA,10/07/2019,09:00:00,JANDIRA FEGHALI,PCdoB,RJ,"Quero, no plenário da Câmara, na representação democrática do povo brasileiro, render as mais profundas homenagens e registrar o sentimento de profunda tristeza, porque o sentimento hoje é de solidão. Paulo Henrique Amorim era um parceiro. Parceiro da democracia, parceiro da nossa indignação, parceiro da luta pela democratização da comunicação no Brasil, parceiro de todas as lutas na sua coragem, na sua indignação permanente, na sua ironia, no seu bom humor, mas, acima de tudo, na sua coerência. Paulo Henrique Amorim era o grande comunicador deste País. Paulo Henrique Amorim tem uma profunda história no jornalismo brasileiro, naquele jornalismo profundo, construído na informação, construído na sua coragem e construído também na grande cobertura jornalística, premiadíssima no Brasil, e nos deixa por um infarto fulminante. Infelizmente nos deixa depois da grande perseguição feita pela televisão, onde ele era aquele que, no domingo, dizia para nós o que muitas redes de televisão não permitiam dizer. Então, Paulo Henrique, fica a nossa saudade, a nossa homenagem, a nossa parceria de sempre e, acima de tudo, a nossa saudade. O Brasil perdeu muito. A comunicação perdeu muito. A democracia perdeu muito. A Esquerda, os democratas e a sociedade brasileira perderam muito. Fica a nossa homenagem."
189,SESSÃO DELIBERATIVA EXTRAORDINÁRIA,10/07/2019,09:00:00,Soraya Santos,PL,RJ,"Obrigada, Deputada Jandira. Eu vou chamar pela ordem de inscrição. Se V.Exas. falarem, literalmente, por 1 minuto, vou conceder a palavra aos quatro que me pediram. Com a palavra o Deputado José Guimarães."
189,SESSÃO DELIBERATIVA EXTRAORDINÁRIA,10/07/2019,09:00:00,JOSÉ GUIMARÃES,PT,CE,"Sra. Presidenta, quero me somar a todos aqueles que, neste momento, choram a perda do jornalista Paulo Henrique Amorim, homem íntegro, totalmente comprometido com a luta em defesa da democracia, da liberdade de imprensa e, sobretudo, com a verdade. Paulo Henrique Amorim notabilizou-se nacionalmente e mundialmente pela sua coragem, pelo seu destemor. Homem da imprensa, mas sempre tendo como referência uma conduta comprometida com a verdade. A nossa homenagem de todos os cearenses a esse jornalista que fez história na luta pela democracia e pela liberdade de imprensa. Que o seu legado sirva de exemplo para uma comunicação independente e imparcial."
189,SESSÃO DELIBERATIVA EXTRAORDINÁRIA,10/07/2019,09:00:00,Soraya Santos,PL,RJ,"Com a palavra o Deputado Valmir Assunção. Em seguida, falará o Deputado Carlos Zarattini."
189,SESSÃO DELIBERATIVA EXTRAORDINÁRIA,10/07/2019,09:00:00,VALMIR ASSUNÇÃO,PT,BA,"Sra. Presidente, Sras. e Srs. Deputados, ontem, aqui nesta Casa, foi uma noite muito triste, pois se encerrou a discussão sobre a reforma da Previdência. E foi triste pelos relatos que estão nos corredores desta Casa e no Diário Oficial. A população brasileira lembra que, em 1997, a reeleição de Fernando Henrique Cardoso custou, segundo os jornais daquela época, 200 mil reais a cada Deputado que votou a favor. Quando chegou à época de Michel Temer, em que ele foi salvo por esta Casa depois de um golpe, por duas vezes, senão ele era cassado, Michel Temer pagou para os Deputados que votaram a favor dele 20 milhões de reais. Agora, o que está nos corredores desta Casa e no Diário Oficial é que o Governo Bolsonaro liberou em torno de 40 milhões de reais a cada Deputado que vai votar a favor da reforma da Previdência. Isso é um absurdo! É a desmoralização da política e dos políticos! Nós não podemos concordar com isso, porque essa reforma da Previdência é para tirar direito do povo brasileiro. E eu vou dizer aqui, Sra. Presidente, o que muitos de nós dizem em todo lugar: com essa reforma da Previdência, o Governo vai economizar 1 trilhão de reais em 10 anos, mas essa reforma da Previdência não é para 10 anos, é para 20 anos! Em 20 anos, a economia que está no projeto vai ser de 4,5 trilhões reais. Como é que o Governo vai economizar 4,5 trilhões reais? Só há um jeito: impedindo que o cidadão e a cidadã se aposentem. Não há outro jeito! Então, essa reforma da Previdência é para impedir que a população brasileira tenha o direito de se aposentar. Quando um Deputado vem aqui à tribuna para dizer que essa reforma da Previdência é a favor do Brasil, é a favor do povo, está mentindo! Essa reforma da Previdência é para impedir que o povo possa ter o direito de se aposentar, Sra. Presidente. Por isso, nós vamos votar contra. Somos contra a reforma da Previdência e vamos obstruir em todos os momentos. Estamos dialogando com a sociedade brasileira, porque nós não podemos aceitar, de forma nenhuma, uma reforma da Previdência que tira o direito do povo brasileiro. Era isso, Sra. Presidente."
189,SESSÃO DELIBERATIVA EXTRAORDINÁRIA,10/07/2019,09:00:00,Soraya Santos,PL,RJ,"Com a palavra o Deputado Carlos Zarattini. V.Exa. dispõe de 1 minuto."
189,SESSÃO DELIBERATIVA EXTRAORDINÁRIA,10/07/2019,09:00:00,CARLOS ZARATTINI,PT,SP,"Sra. Presidente, Srs. Deputados e Sras. Deputadas, é com pesar que hoje nós lamentamos aqui o falecimento de dois grandes brasileiros: Paulo Henrique Amorim e Chico de Oliveira, duas pessoas que sempre estiveram ao lado da luta democrática, do Brasil e do povo brasileiro. Paulo Henrique Amorim foi um grande jornalista que, nos últimos anos, esteve à frente da luta contra o monopólio dos meios de comunicação. Ele sempre lutou pela democratização do País e das comunicações e, principalmente, pela defesa da soberania nacional, das liberdades e da democracia. Chico de Oliveira foi o fundador do PT e, depois, do PSOL. Foi uma pessoa que sempre esteve na linha de frente da luta pelo socialismo em nosso País. Então, é com pesar que manifestamos aqui o nosso sentimento de solidariedade..."
189,SESSÃO DELIBERATIVA EXTRAORDINÁRIA,10/07/2019,09:00:00,Soraya Santos,PL,RJ,"Com a palavra o Deputado Leonardo Monteiro. Eu estou cortando os inscritos. Estou concedendo a palavra a um Deputado inscrito e a um Deputado para falar por 1 minuto. Primeiro, falará o Deputado Leonardo Monteiro."
189,SESSÃO DELIBERATIVA EXTRAORDINÁRIA,10/07/2019,09:00:00,LEONARDO MONTEIRO,PT,MG,"Presidenta, quero cumprimentar V.Exa., que está dirigindo os trabalhos da Câmara, e todos os Deputados e Deputadas. Presidenta, quero comunicar que realizamos neste final de semana, no sábado e no domingo, uma caravana Lula Livre, contra a reforma da Previdência, lá no Vale do Mucuri, em Minas Gerais. Nós percorremos as cidades de Novo Oriente de Minas, Pavão, Fronteira dos Vales, Águas Formosas, Crisólita, Santa Helena de Minas, Umburatiba, Bertópolis. Em várias delas, nós percorremos bairros, distritos, feiras livres, fazendo campanha sobre o Presidente Lula. Percebemos e sentimos que a população do Vale do Mucuri reconhece que o Presidente Lula é um preso político, que foi preso para evitar que ele ganhasse as eleições. Agora, nós estamos vendo todos os diálogos, comprovando que, na verdade, o Presidente Lula é um preso político. Essa caravana teve a virtude de homenagear o nosso Presidente Lula, relembrar sobretudo o trabalho que ele fez na região. Fizemos um debate importante sobre a reforma da Previdência. Nós vimos na Câmara dos Deputados a votação ontem. O Diário Oficial, toda a imprensa, os grandes jornais e telejornais estão anunciando que o Governo garantiu a maioria aqui, liberando 40 milhões de reais para cada Deputado que votar a favor da proposta. É vergonhoso! Ora, se fosse uma proposta boa, não precisaria comprar os Deputados. Eu tenho certeza de que, se o Governo mandar uma proposta para aumentar o salário dos servidores públicos, todo mundo vai votar a favor. Nós precisamos esclarecer isso também, pois estou vendo o lobby acontecendo. Nós vimos como foi a reforma trabalhista. Falava-se que a reforma trabalhista ia tirar o Brasil do fundo do poço, ia tirar o Brasil da lama. Agora estão falando que é a reforma da Previdência. A mesma pessoa que foi o Relator da reforma trabalhista, o ex-Deputado Rogério Marinho, agora é o articulador da reforma da Previdência, uma reforma que vai sacrificar a maioria dos trabalhadores e das trabalhadoras. Por isso, a nossa posição é contrária a essa reforma da Previdência, que prejudica a maioria dos trabalhadores, sobretudo quem ganha de três salários para baixo. Ela prejudica a viúva, prejudica a maioria daqueles e daquelas que precisam de uma previdência pública, solidária, que possa, de fato, atender a maioria da nossa população."
189,SESSÃO DELIBERATIVA EXTRAORDINÁRIA,10/07/2019,09:00:00,ALEXANDRE FROTA,PSL,SP,"Presidente, peço 1 minuto."
189,SESSÃO DELIBERATIVA EXTRAORDINÁRIA,10/07/2019,09:00:00,LUIZA ERUNDINA,PSOL,SP,"Presidente..."
189,SESSÃO DELIBERATIVA EXTRAORDINÁRIA,10/07/2019,09:00:00,Rodrigo Maia,DEM,RJ,"Com a palavra o Deputado Alexandre Frota."
189,SESSÃO DELIBERATIVA EXTRAORDINÁRIA,10/07/2019,09:00:00,ALEXANDRE FROTA,PSL,SP,"Presidente, muito bom dia. Venho aqui hoje, mais uma vez, pedir a esta Casa que tenha equilíbrio, paciência e discernimento, para que nós possamos ter um dia como o de ontem, em que trabalhamos com muito objetivo. Deu-nos muito trabalho, mas chegamos aonde nós queríamos. Conto mais uma vez com todos os Deputados do PSL e todos aqueles que, juntos, querem trabalhar por um Brasil melhor. Muito obrigado, Presidente."
189,SESSÃO DELIBERATIVA EXTRAORDINÁRIA,10/07/2019,09:00:00,NELSON PELLEGRINO,PT,BA,"Presidente, peço 1 minuto."
189,SESSÃO DELIBERATIVA EXTRAORDINÁRIA,10/07/2019,09:00:00,Rodrigo Maia,DEM,RJ,"Vamos lá! Com a palavra a Deputada Erundina."
189,SESSÃO DELIBERATIVA EXTRAORDINÁRIA,10/07/2019,09:00:00,LUIZA ERUNDINA,PSOL,SP,"Sr. Presidente, eu quero expressar minha solidariedade aos familiares pela partida de dois grandes brasileiros, aliados nossos na luta socialista, na luta pela democracia, na luta por igualdade de direitos neste País, na América Latina e no mundo, que são Chico de Oliveira e Paulo Henrique Amorim. Os dois sempre estiveram à frente na defesa daquilo que é certo, dos interesses nacionais, da conquista de direitos para o povo brasileiro, tão atacado e perseguido em seus direitos, em suas conquistas, em sua condição humana. É o que ocorre, por exemplo, na votação desta matéria, da reforma da Previdência Social, que penaliza de forma irresponsável a imensa maioria..."
189,SESSÃO DELIBERATIVA EXTRAORDINÁRIA,10/07/2019,09:00:00,Rodrigo Maia,DEM,RJ,"Tem a palavra o Deputado Rogério Correia."
189,SESSÃO DELIBERATIVA EXTRAORDINÁRIA,10/07/2019,09:00:00,ROGÉRIO CORREIA,PT,MG,"Obrigado, Sr. Presidente. Eu solicitei este minuto porque dormimos pouco todos nós, devido ao trabalho no plenário, que foi até tarde, e já recebemos a notícia do falecimento de Paulo Henrique Amorim e de Chico de Oliveira. É com muita tristeza que vimos isso pela manhã. No início achei até que eram fake news, mas infelizmente foi mesmo um infarto fulminante. Então, presto daqui a minha solidariedade aos familiares dos dois. Paulo Henrique Amorim, um batalhador da comunicação, sempre foi muito crítico, mas também muito informativo naquilo que colocava para o Brasil. É muito triste o dia de hoje, infelizmente, pela perda de Paulo Henrique Amorim, além de tudo um grande amigo. Sempre que ia a Belo Horizonte, conversávamos sobre a situação política do País. Era essa a homenagem que queria fazer à memória do nosso querido Paulo Henrique Amorim. Obrigado."
189,SESSÃO DELIBERATIVA EXTRAORDINÁRIA,10/07/2019,09:00:00,Rodrigo Maia,DEM,RJ,"Concedo a palavra ao Deputado Nelson Pellegrino."
189,SESSÃO DELIBERATIVA EXTRAORDINÁRIA,10/07/2019,09:00:00,NELSON PELLEGRINO,PT,BA,"Sr. Presidente, queria me associar a todos os que lamentaram, nesta manhã, a morte de Paulo Henrique Amorim, esse grande comunicador e grande defensor da democracia, do patrimônio estatal, esse crítico de regimes autoritários que sempre defendeu o povo brasileiro, os mais pobres. Era um amigo também. Dividia seu tempo entre Rio de Janeiro, São Paulo e Salvador, onde tinha residência. Solidarizo-me com Geórgia. Não poderia deixar de registar também o meu pesar pela morte de Chico de Oliveira, esse grande brasileiro, como Paulo Henrique Amorim. Paulo Henrique, como comunicador, e Chico de Oliveira, como pensador do Brasil, ambos deram contribuições importantes para a compreensão deste Brasil injusto, deste Brasil excludente, ambos deram contribuições para que pudéssemos trabalhar e construir um Brasil melhor. Lamento a morte de Paulo Henrique Amorim, que era também um amigo de Chico de Oliveira. O Brasil acorda mais triste, o Brasil acorda menor, Sr. Presidente. Muito obrigado."
189,SESSÃO DELIBERATIVA EXTRAORDINÁRIA,10/07/2019,09:00:00,Rodrigo Maia,DEM,RJ,"Tem a palavra a Deputada Alice Portugal."
189,SESSÃO DELIBERATIVA EXTRAORDINÁRIA,10/07/2019,09:00:00,ALICE PORTUGAL,PCdoB,BA,"Sr. Presidente, Srs. Deputados, hoje é um dia  muito triste para o jornalismo, para as comunicações e para aqueles que lutam pela democracia, aqueles que defendem a soberania. Paulo Henrique Amorim, sem dúvida, foi um representante à altura dessas teses. A sua "conversa afiada" era sempre lastreada na verdade, na luta pela defesa do Brasil e pela defesa da mais pura democracia. Nós da Bahia estamos sentidos. Abraçamos muito a sua companheira de trabalho, sua esposa e grande amor, Geórgia. Sem dúvida deixa um rastro luminoso o nosso querido Paulo Henrique. Também nos solidarizamos com os companheiros, amigos e familiares de Chico de Oliveira. Muito obrigado, Sr. Presidente."
