autor|partido|uf|discurso
RODRIGO MAIA|PSD|BA|Não havendo quórum regimental para a abertura da sessão, nos termos do § 3º do art. 79 do Regimento Interno, aguardaremos até meia hora para que ele se complete.
RODRIGO MAIA|PSD|BA|A lista de presença registra na Casa o comparecimento de 51 Senhoras Deputadas e Senhores Deputados. Está aberta a sessão. Sob a proteção de Deus e em nome do povo brasileiro iniciamos nossos trabalhos.
RODRIGO MAIA|PSD|BA|Fica dispensada a leitura da ata da sessão anterior. (Não há expediente a ser lido.)
RODRIGO MAIA|PSD|BA|Neste momento, esta Presidência irá suspender a Sessão Deliberativa Extraordinária para dar início à Sessão Solene em homenagem aos 100 anos de emancipação política do Município de Guanambi, proposta pelo Deputado Charles Fernandes. Está suspensa a sessão. (Suspende-se a sessão às 9 horas e 36 minutos.) (O Sr. Charles Fernandes, nos termos do § 2º do art. 18 do Regimento Interno, deixa a cadeira da Presidência, que é ocupada pelo Sr. Rodrigo Maia, Presidente.)
RODRIGO MAIA|DEM|RJ|Neste momento, esta Presidência reabre a Sessão Extraordinária, após o encerramento da Sessão Solene em homenagem aos 100 anos de emancipação política do Município de Guanambi, na Bahia, proposta pelo Deputado Charles Fernandes. Está reaberta a sessão. Peço às assessorias que informem aos Parlamentares que nós retomamos a sessão e que eu espero, em no máximo 20 ou 30 minutos, ter condições de abrir a Ordem do Dia, para que possamos terminar a votação da PEC no dia de hoje. Tem a palavra o Deputado Fernando Coelho Filho.
FERNANDO COELHO FILHO|DEM|PE|Sr. Presidente, eu queria aproveitar a oportunidade para registrar que, na segunda-feira, houve inauguração da usina solar flutuante no reservatório de Sobradinho, na Bahia, evento que contou com a presença do Presidente Bolsonaro e do Ministro Almirante Bento. O programa de P&D foi autorizado pela Agência Nacional de Energia Elétrica, e nós tivemos a alegria, ainda no ano de 2017, enquanto Ministro de Estado, de autorizar a liberação dos recursos pela CHESF. Agora, esse empreendimento ficou completamente pronto e foi entregue pelo Presidente na segunda-feira passada. Isso é importantíssimo para o Vale do Submédio São Francisco, que é famoso pela sua irrigação e pelo potencial agrícola que tem, porque, quanto mais energia gerada do vendo, energia gerada do sol, mais água sobra para que possamos irrigar e continuar desenvolvendo o Seminário brasileiro. Então, eu queria fazer o registro na Câmara dos Deputados desse evento importante. Mesmo sabendo que é um programa de pesquisa e desenvolvimento com um investimento ainda pequeno, apenas 1 megawatt, eu não tenho a menor dúvida de que isso vai possibilitar que outros experimentos como esse possam ser desenvolvidos Brasil afora para que o nosso País possa liderar essa geração de energia renovável. Queria aproveitar esta oportunidade nesta manhã de hoje para fazer esse registro. Quero também parabenizar V.Exa. pela condução ontem da votação em segundo turno da reforma da Previdência, aumentando a votação que nós tivemos, que já era expressiva, para que o Brasil, a partir dessa aprovação, possa se reencontrar com o crescimento econômico, porque é disto que nós precisamos: gerar emprego, gerar renda, gerar oportunidade de trabalho a todos os brasileiros. Parabéns a V.Exa. pela condução dos trabalhos!
RODRIGO MAIA|DEM|RJ|Concedo a palavra à Deputada Benedita da Silva.
BENEDITA DA SILVA|PT|RJ|Sr. Presidente, eu gostaria de fazer o registro da minha participação no Festival Nacional Elas por Elas, que reuniu representantes de todos os cantos do País, unindo a política e a arte, para debater a participação da mulher na política e promover o empoderamento feminino, unindo as diversas expressões e formas de resistência que caracterizam o Brasil. Nesse dia, tivemos eventos, como oficinas, debates e  shows,  que foram organizados pelas Secretarias Nacionais de Mulheres do Partido dos Trabalhadores, por meio da nossa Secretária Anne, e de Cultura do PT, por meio do nosso Secretário Márcio. Eu quero parabenizar a Presidenta Nacional do Partido dos Trabalhadores, Gleisi Hoffmann, a Secretária Nacional de Mulheres, Anne Karolyne, e o Secretário Nacional de Cultura, Márcio Tavares, porque foi um evento de excelente qualidade, tanto nos debates, vendo a cultura como promissora, vendo a cultura combatendo a violência, vendo a cultura dando oportunidade de criatividade, democracia e liberdade, quanto no seu apoio para que a campanha por Lula livre seja cada vez mais fortalecida pelo entendimento que temos da base social brasileira, que neste momento sofre muito com o Governo Bolsonaro.
RODRIGO MAIA|DEM|RJ|Concedo a palavra à Deputada Mariana Carvalho.
MARIANA CARVALHO|PSDB|RO|Obrigada, Presidente. Eu gostaria de convidar todos que estiverem hoje em Brasília para ir à Esplanada dos Ministérios. Está ocorrendo hoje o Festival Tambaqui da Amazônia, no qual serão distribuídas mais de 6 mil bandas de tambaqui. O evento é patrocinado pelo Ministério da Agricultura, pelo Governo do Estado e empresários. Levando 1 quilo de alimento, você terá a oportunidade de conhecer o tambaqui da Amazônia e fazer com que o nosso tambaqui seja divulgado em âmbito nacional. Faço o convite a todos para estarem na Esplanada dos Ministérios hoje. Parabéns a todos por esse evento e por essa organização.
RODRIGO MAIA|DEM|RJ|Concedo a palavra ao Deputado Gonzaga Patriota.
GONZAGA PATRIOTA|PSB|PE|Sr. Presidente, nós sabemos que o Sertão de Pernambuco tem o Rio São Francisco, que ajuda muito, principalmente na fruticultura. No entanto, nós temos alguns problemas seriíssimos lá. Um é a falta de água. Com relação a essa água do Tocantins, nós estamos ainda carecendo dos recursos. O outro são os impostos e, também, a energia. Nós estamos num trabalho relativo às taxas, que cresceram de uma forma que nós não conseguimos resolver. Os produtores, os fruticultores do Submédio São Francisco estão trabalhando exatamente para diminuir o absurdo dessas taxas e têm todo o nosso apoio. Eu venho aqui trazer um pronunciamento exatamente para ser encaminhado ao Governo, para nós resolvermos esse problema dos fruticultores do São Francisco.
DEPUTADO GONZAGA PATRIOTA.|N/A|N/A|(O Sr. Rodrigo Maia, Presidente, deixa a cadeira da Presidência, que é ocupada pelo Sr. Eduardo Barbosa, nos termos do § 2º do art. 18 do Regimento Interno.)
RODRIGO MAIA|PSDB|MG|A Deputada Benedita da Silva tem a palavra por 3 minutos.
