autor|partido|uf|discurso
RODRIGO MAIA|PT|RJ|Não havendo quórum regimental para a abertura da sessão, nos termos do § 3º do art. 79 do Regimento Interno, aguardaremos até meia hora para que ele se complete.
RODRIGO MAIA|PT|RJ|A lista de presença registra na Casa o comparecimento de 52 Senhoras Deputadas e Senhores Deputados. Está aberta a sessão. Sob a proteção de Deus e em nome do povo brasileiro iniciamos nossos trabalhos. O Sr. Secretário procederá à leitura da ata da sessão anterior.
RODRIGO MAIA|PT|RJ|A Mesa comunica que a sessão está suspensa até a Ordem do Dia. (Suspende-se a sessão às 10 horas e 1 minuto.) (A Sra. Benedita da Silva, nos termos do § 2º do art. 18 do Regimento Interno, deixa a cadeira da Presidência, que é ocupada pelo Sr. Rodrigo Maia, Presidente.)
RODRIGO MAIA|DEM|RJ|Está reaberta a sessão. Concedo a palavra ao Deputado Ricardo Barros.
RICARDO BARROS|PP|PR|Sr. Presidente, gostaria de convidar todos os nossos companheiros para que venham ao plenário, a fim de iniciarmos a votação dos destaques restantes da reforma da Previdência. Estamos dando um grande passo, Sras. e Srs. Deputados, para colocar o nosso País de volta no rumo do desenvolvimento, da geração de empregos. Vamos votar posteriormente a reforma tributária. Essa agenda é liderada por S.Exa. o Presidente da Câmara, o Deputado Rodrigo Maia. O Legislativo assume o seu protagonismo e estabelecerá sim novas regras para um Brasil melhor. Então, é importante a presença de todos os Srs. Parlamentares agora no plenário. Vamos concluir a votação, em primeiro turno, da reforma da Previdência. Temos outras matérias relevantes. Os prazos da reforma tributária estão correndo. Os prazos de outras medidas importantes que o Governo estabeleceu estão correndo. Sr. Presidente, quero dizer agora que instalamos recentemente a Frente Parlamentar da Indústria Pública de Medicamentos. É preciso fortalecer os laboratórios públicos, que têm a prerrogativa de fabricar medicamentos baratos, como a penicilina. Os laboratórios privados não têm mais interesse comercial nesse medicamento, mas ele é fundamental para o atendimento na saúde pública. Esse e outros medicamentos serão fabricados por laboratórios públicos. Haverá transferência de tecnologia e, através das Parcerias para o Desenvolvimento Produtivo, teremos a possibilidade de produzir no Brasil medicamentos biológicos, medicamentos de alto custo. Produzidos aqui, custarão menos para o SUS e garantirão mais acesso da população à saúde. Menciono também frente parlamentar para a informatização da saúde, Presidente. Se nós informatizarmos a saúde brasileira, com o Registro Eletrônico de Saúde, com o Prontuário Eletrônico do Cidadão, acessível em qualquer lugar do mundo em que ele esteja, vamos economizar, evitando a repetição de consultas, exames e entregas de medicamentos. São quase 20 bilhões de reais possíveis de economia só com a instalação do prontuário eletrônico, cujo andamento da licitação o Tribunal de Contas da União está barrando. E, por final, cito a criação da frente parlamentar para a formação dos agentes comunitários de saúde. Temos, no Brasil, 350 mil agentes comunitários de saúde que, por uma decisão do Conselho de Enfermagem, não podem mais tirar pressão, não podem mais verificar glicemia, não podem mais fazer um curativo. Então, vamos formar todos esses agentes comunitários em técnicos de enfermagem e aumentar a resolutividade da atenção básica na saúde brasileira. Parabéns, Presidente, pelo encaminhamento que tem dado aos trabalhos nesta Casa!
AFONSO MOTTA|PDT|RS|Sr. Presidente, peço a palavra por 3 minutos.
RODRIGO MAIA|DEM|RJ|O Deputado Alexandre Frota vai falar agora. S.Exa. dispõe de 3 minutos.
ALEXANDRE FROTA|PSL|SP|Presidente Rodrigo Maia, Deputados e Deputadas desta Casa, estamos aqui reunidos, mais uma vez, nestas manhã e tarde, para trabalhar pelo futuro do País. Estamos no momento principal, período de debates e de votação. Esta Casa tem o compromisso, Presidente, com a aprovação da reforma da Previdência. Estamos aqui trabalhando pelo Brasil, no momento em que esta Casa assumiu a responsabilidade por essa reforma, por essa economia. Sabemos da força daqueles homens e das mulheres que aqui dentro estão lutando por esse Brasil. Temos sido coerentes e estamos construindo, dessa forma, essa Previdência, e construindo isso juntos. Por isso, é muito importante que todos participem, coloquem suas digitais. Sabemos que nosso sistema está condenado, a velha Previdência é um buraco fiscal que ameaça o País. Ontem, saímos daqui já na madrugada, e agora pela manhã estamos aqui novamente, na certeza de que estamos fazendo o que o Brasil, o que os 207 milhões de brasileiros querem: a reforma da Previdência, para salvar as novas gerações, para que o Brasil tenha um futuro muito melhor do que esse a que assistimos até agora. Sabemos que têm sido difíceis e acalorados os debates aqui dentro, por horas e horas, mas estamos nos mantendo firmes. Quero homenagear aqui todos os Deputados e Deputadas do PSL, que têm feito um trabalho de muita dedicação ao texto do Relator Samuel Moreira. Mais uma vez, ressalto a força e o trabalho da Comissão Especial da Reforma da Previdência, capitaneada pelo Deputado Marcelo Ramos, que, mais uma vez, daqui a algumas horas, estará no comando desta importante sessão. Portanto, peço a atenção a todos, pois temos muitos destaques pela frente. Com certeza, o Brasil vencerá. Muito obrigado, Presidente.
RODRIGO MAIA|DEM|RJ|Concedo a palavra ao Deputado Afonso Motta.
AFONSO MOTTA|PDT|RS|Sr. Presidente, a oposição se faz também de provocação, a provocação do contraponto, da crítica e do bom debate. E eu queria, sim, neste momento em que nós estamos aqui começando os trabalhos Š embora a convocação de V. Exa. tenha sido para nós iniciarmos às 9 horas da manhã, e V.Exa. já está no plenário neste momento, próximo das 12 horas Š, eu queria dizer que valorizo muito o cuidado que V. Exa. tem tido com o exercício das votações. Ontem, ficamos um bom tempo esperando por dois Parlamentares, e nós o respeitamos muito, mas eu acho que está evidente Š e esta é a provocação que eu quero fazer Š que a articulação do Governo para a aprovação da reforma da Previdência está muito precarizada. Eu faço esta provocação com muito respeito. Neste momento, ou até 1 minuto atrás, quando eu fiz a avaliação, não havia 200 Parlamentares na Casa Š não no plenário, mas na Casa!Qual é o poder de convocação em uma matéria dessa dimensão, em uma matéria que nós estamos tratando há vários meses, para chegar este momento e nos encontrarmos nessa circunstância? É claro que nós vamos fazer oposição. É evidente que nós estamos aqui para cumprir, cada um, com o seu papel, mas também não é justo, se nós não vamos chegar a lugar algum, que nós fiquemos aqui até domingo sem chegar a lugar algum. Portanto, é melhor suspender. Vamos tratar desse assunto depois do recesso. Até porque também, todo mundo sabe na Casa que, na semana que vem, não haverá espaço para aprovação de nenhuma matéria. Todo mundo sabe como é que as coisas funcionam. Todo mundo sabe dos compromissos que estão assumidos. E há mais, eu amplio a minha provocação, perguntando: quantos Parlamentares que apoiam o Governo, que estão sendo inclusive beneficiados pela liberação de recursos, já não estão mais aqui em Brasília, não vão mais comparecer hoje? São cinco? São dez? Pelo placar apertado das votações, isso também representa um risco muito grande. Nós estamos apostando que é muito importante, para qualificar o debate, que voltemos depois do recesso. Nós estamos fazendo essa provocação para o Governo, para que ele dê uma resposta. Vamos participar do debate? Vamos votar as matérias? Vamos votar o segundo turno? Vai voltar lá para a Comissão Especial? São perguntas que estão postas. E não somos só nós, os Parlamentares da Oposição, que estamos fazendo as perguntas: é a sociedade brasileira, que está acompanhando e quer saber. Obrigado, Sr. Presidente. O intuito é colocar com V.Exa.
