autor|partido|uf|discurso
MARCELO RAMOS|PL|AM|Havendo número regimental, declaro aberta a 20ª Reunião Extraordinária da Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 6-A, de 2019, do Poder Executivo, que modifica o sistema de Previdência Social, estabelece regras de transição e disposições transitórias e dá outras providências. Há um requerimento...
ALICE PORTUGAL|B|BA|Questão de ordem, Presidente.
MARCELO RAMOS|PL|AM|Vou já passar a palavra a V.Exa. Há um requerimento de alteração da ordem dos trabalhos, de autoria da Liderança do PCdoB. Pelos mesmos argumentos que foram apresentados ontem, o requerimento está indeferido. Regimentalmente, a inversão da ordem só pode acontecer para que o início se dê pela Ordem do Dia, e o requerimento indica o início pela apresentação da ata. O requerimento está rejeitado. Está prejudicado o requerimento de votação nominal. Para uma questão de ordem, tem a palavra a Deputada Alice Portugal.
ALICE PORTUGAL|B|BA|Presidente, a questão de ordem, lastreada no art. 50, contradita a posição de V.Exa. em relação a uma decisão tomada em 2009. Nós temos uma decisão da Presidência tomada em 24 de maio de 2016 que diz que a ata é anterior à Ordem do Dia, e essa decisão foi posterior à alegada por V.Exa. Como V.Exa. sabe, o nosso direito de obstrução é não só elemento crucial para o processo de debate profundo da matéria tão complexa que ora está em tela como é fundamental para que passamos trabalhar com o ritmo, com a cadencia necessária para compreendermos o relatório. Aqui está explícito que é   possível fazer a inversão da Ordem do Dia em relação ao expediente. De fato, a ata é uma matéria submetida a voto. Sr. Presidente, assessoria da Mesa, a ata é matéria submetida a voto. No entanto, a troca de ordem entre o expediente e a Ordem do Dia é possível e lastreada. Peço observância regimental para não cometermos um equívoco. Estou aqui com decisão da Presidência em mãos. Trata-se do Recurso nº 132, de 2016, interposto pelo Deputado Jerônimo Goergen contra decisão em questão de ordem proferida na reunião ordinária de 27 de abril de 2016 pelo Presidente da Comissão Especial à época. Essa decisão tomada contradita a de 2009 e diz que o art. 50 é imperativo quando estabelece a ordem dos trabalhos das Comissões, dispondo que a discussão e a votação da ata ocorrem no início dos trabalhos das Reunião de: 03/07/2019 Comissões e que, portanto, os demais itens podem ser invertidos. Por conseguinte, a discussão da ata seria afeta apenas a pontos que necessitariam ser retificados e, dessa forma, não atenderia às regras de discussão. Nesse sentido, a Questão de Ordem nº 461, de 2009, fica superada por esta decisão de 2016, que vai assinada no dia 24 de maio pelo Deputado Waldir Maranhão. Peço vênia e solicito a inversão da ordem dos trabalhos.
MARCELO RAMOS|PL|AM|Obrigado, Deputada Alice. Esta Mesa, esta Presidência já decidiu ontem sobre esta questão. Reafirmo a decisão de ontem, cabendo obviamente recurso para a Presidência da Casa. Em apreciação a Ata da 19ª reunião realizada ontem, cujas cópias estão à disposição dos senhores membros. Indago ao Plenário se há a necessidade de leitura da ata.
ALICE PORTUGAL|B|BA|Questão de ordem, Sr. Presidente. A ata tem que ser lida.
MARCELO RAMOS|PL|AM|A ata será lida.
HENRIQUE FONTANA|PT|RS|Dá para distribuir uma cópia da ata?
MARCELO RAMOS|PL|AM|As cópias estão sempre no escaninho. Todos os documentos da Casa que estão no escaninho serão lidos. Eu, inclusive, não respondi porque peguei imediatamente a ata para ler, já que farei isso pessoalmente, de ofício.
ALICE PORTUGAL|B|BA|Eu pedi questão de ordem.
