autor|partido|uf|discurso
MARCELO RAMOS|PL|AM|Declaro aberta a 14ª Reunião Ordinária da Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 6-A, de 2019, do Poder Executivo, que modifica o sistema de previdência social, estabelece regras de transição e disposições transitórias e dá outras providências. Peço silêncio, por favor. (O Sr. Presidente faz soarem as campainhas.)
MARCELO RAMOS|PL|AM|Antes de passar ao procedimento regimental de apreciação da ata e do expediente, eu quero, na condição de Presidente da Comissão, fazer algumas ponderações que serão orientadoras do nosso trabalho a partir daqui e nos próximos dias. Nós entramos numa fase fundamental de um debate importante para a vida de milhões de brasileiros e para a vida das próximas gerações de brasileiros e precisamos construir, com maturidade, um debate qualificado. Diante disso, nós tivemos duas reuniões preparatórias em que estabelecemos um acordo de procedimentos. O acordo é única e exclusivamente de procedimentos, o que não diminui as profundas contradições que existem em relação ao conteúdo da matéria. Há profundas contradições quanto ao conteúdo da matéria, ao qual a Oposição, legitimamente, registra sua contrariedade. E o Governo, legitimamente, defende e entende que a matéria é importante para a construção de um futuro sustentável para o País. Então, esses espaços de debate serão garantidos na Comissão. Que fique claro para o povo brasileiro que o acordo construído é um acordo de procedimentos e não um acordo de conteúdo. Mais do que isso: esse acordo de procedimentos foi construído para o processo de debate. Nós teremos reuniões preparatórias no intervalo entre o processo de debate e o processo de votação e poderemos ter acordo de procedimento ou não para o processo de votação. Quero dizer que a pressão em relação ao tempo é a maior pressão que esta Comissão recebe desde o início. O tempo tem elementos que independem da vontade deste Presidente. O tempo e a data da votação estão condicionados à quantidade de oradores inscritos, à qualidade da unidade em torno do relatório e à quantidade de destaques que serão apreciados. Portanto, não tem como nós começarmos pelo fim. Não se define primeiro a data e depois o procedimento; define-se primeiro o procedimento e depois a data.  (Palmas.) Segundo o acordo de procedimento definido entre nós, a Oposição não fará a obstrução tradicional de requerimento de inversão de pauta, de leitura de ata, que é absolutamente legítima do ponto de vista regimental. Em contrapartida, serão Reunião de: 13/06/2019 garantidas todas as inscrições, sem requerimento de encerramento dos debates. Portanto, nós tendemos a ter um debate mais alongado, mas um debate de conteúdo da matéria, que engrandece a Oposição, que pode defender as suas posições contrárias ao projeto; engrandece o Governo, que terá espaço de argumentação para defender o projeto; e engrandece, acima de tudo, o Parlamento, porque daremos um sinal para a sociedade de que é possível construir uma matéria tão polêmica, tão contraditória, com qualidade no debate do mérito, do conteúdo da proposta, e não com debates secundários, que, a despeito de serem legítimos, são pouco esclarecedores para a população. Eu tenho certeza de que todos os Deputados e Deputadas preferem a chance de debater o conteúdo da proposta do que a de debater, por alguns minutos ou, às vezes, por algumas horas, um requerimento de inversão de pauta ou de leitura de ata. Acho que nós vamos dar um sinal importante se conseguimos levar o trabalho nesse tom até o final. Quero dizer ao povo brasileiro que a responsabilidade com o País que a Câmara dos Deputados tem de, dentro das suas contradições, enfrentar esse debate e assumir para si a necessidade de enfrentamento da pauta da reforma da Previdência inclui a responsabilidade de não atrasar a matéria, por um lado, mas também de garantir a qualidade do debate. Nós não prestaremos um relevante serviço para a sociedade se atrasarmos a votação da matéria, mas também não prestaremos um serviço para a sociedade se não permitirmos um debate transparente, democrático e de qualidade. Portanto, o esforço desta Presidência, do Deputado Silvio Costa Filho e do Deputado Samuel Moreira é garantir a celeridade que a matéria exige, mas sem prejudicar a qualidade do debate democrático que será promovido aqui dentro desta Casa. Feitas essas primeiras apreciações, há um requerimento de fala de Líderes, que regimentalmente falam na hora em que requerem a palavra. Em cumprimento ao requerimento, nós iniciaremos os trabalhos com a fala de Líderes tanto do Governo como da Oposição, tanto a favor como contra a proposta. Eu só peço que, antes dessa fase de fala dos Líderes, nós possamos cumprir essa etapa procedimental de ultrapassar a questão da ata e a questão da Ordem do Dia, o.k.? Tem a palavra a Deputada Gleisi Hoffmann.
GLEISI HOFFMANN|PT|PR|Obrigada, Presidente. Eu queria fazer uma questão de ordem, Sr. Presidente, com base no art. 202, § 2º, do Regimento Interno, combinado com os arts. 115 e 117 do Regimento Interno. Minha questão de ordem é a seguinte... Primeiro, Sr. Presidente, V.Exa. falou do acordo de procedimentos. Eu quero deixar claro aqui, em relação a acordos, que o Partido dos Trabalhadores não participou do acordo quanto à leitura e ao conteúdo do relatório do Relator. Aliás, repudiamos esse acordo e a forma como ele foi divulgado, dando a entender que esse foi um acordo da Casa. Nós não participamos, não participaremos, jamais participaremos de um acordo que retira direito dos...
MARCELO RAMOS|PL|AM|Qual é a questão de ordem?
GLEISI HOFFMANN|PT|PR|Vou fazê-la. Estou no meu tempo. Jamais participaremos de um acordo que retira direitos dos trabalhadores, retira a renda e agride os aposentados. Aliás, de acordo em acordo, este Congresso Nacional tem retirado direitos. Houve o acordo da reforma trabalhista, o acordo da Emenda Constitucional nº 95, e o que nós estamos vendo é o Brasil ir para o buraco. Portanto, Sr. Presidente, nós temos muita preocupação com essa matéria. Achamos açodado fazer a leitura do relatório hoje e achamos açodada a forma como foram encaminhados os debates. Nós temos, pelo art. 202...
MARCELO RAMOS|PL|AM|Qual é a questão de ordem?
GLEISI HOFFMANN|PT|PR|Nós temos, pelo artigo...
DELEGADO ÉDER MAURO|PSD|PA|Qual é o artigo?
GLEISI HOFFMANN|PT|PR|Nós temos, pelo § 2º do art. 202 do Regimento Interno, 40 sessões da Comissão Especial. Sabem quantas sessões nós utilizamos...
MARCELO RAMOS|PL|AM|Qual é a questão de ordem, Deputada? Nós temos um acordo de não realizar obstrução. Peço que V.Exa. indique a questão de ordem. (Intervenção fora do microfone.)
